fillingLimit;name;avgFillingRatePerDay;fillingRate;serialNumber;collectFrequency;fillingRateDate;localisationfo_streetbis;localisationfo_town;localisationfo_name;localisationfo_country;localisationfo_number;localisationfo_street;localisationfo_postalcode;wastecontainermodelfo_usefulcapacity;wastecontainermodelfo_model;wastecontainermodelfo_type;wastecontainermodelfo_manufacturer;wastetype_designation;wastetype_density;geo
100;13008-PM 002;21;52;13008-PM 002;c400;2018-12-22T14:00:00+01:00;;Paris;13008;France;13008;23, Avenue d'Ivry;75013;770;Modèle 770L TRILIB (1170);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.822352, 2.3675
100;19039-P 001;13;20;19039-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;19039;France;19039;7, Quai de la Seine;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.884586, 2.370094
100;2006-PM 001;8;25;2006-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;2006;France;2006;3, Rue Rameau;75002;770;Modèle 770L TRILIB (1150);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.867729, 2.337622
100;19029-P 001;15;40;19029-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;19029;France;19029;75, Rue de l’Ourcq;75019;770;Modèle 770L TRILIB (1220);aerial;PLASTIC OMNIUM;CB;0.2;48.892484, 2.378161
100;2004-P 001;9;33;2004-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;2004;France;2004;118, Rue d'Aboukir;75002;770;Modèle 770L TRILIB (1170);aerial;PLASTIC OMNIUM;CB;0.2;48.868709, 2.350564
100;18022-PM 001;13;41;18022-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;18022;France;18022;25, Rue Doudeauville;75018;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.888548, 2.355901
100;13013-PM 001;31;91;13013-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;13013;France;13013;74, Avenue d'Ivry;75013;770;Modèle 770L TRILIB (1170);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.824761, 2.364096
100;19037-V 001;2;33;19037-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;19037;France;19037;5, Rue de la Prévoyance;75019;500;Modèle 500L TRILIB (1190);aerial;PLASTIC OMNIUM;Glass;0.3;48.882724, 2.392037
100;13014-PM 003;27;72;13014-PM 003;c400;2018-12-22T12:00:00+01:00;;Paris;13014;France;13014;62, Rue Nationale;75013;770;Modèle 770L TRILIB (1220);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.82583, 2.367423
100;18020-PM 001;3;40;18020-PM 001;c400;2018-12-22T14:00:00+01:00;;Paris;18020;France;18020;7, Rue Marcadet;75018;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.890155, 2.354943
