fillingLimit;name;avgFillingRatePerDay;fillingRate;serialNumber;collectFrequency;fillingRateDate;localisationfo_streetbis;localisationfo_town;localisationfo_name;localisationfo_country;localisationfo_number;localisationfo_street;localisationfo_postalcode;wastecontainermodelfo_usefulcapacity;wastecontainermodelfo_model;wastecontainermodelfo_type;wastecontainermodelfo_manufacturer;wastetype_designation;wastetype_density;geo
100;18018-V 001;0;28;18018-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;18018;France;18018;17, Rue de Torcy;75018;500;Modèle 500L TRILIB (1210);aerial;PLASTIC OMNIUM;Glass;0.3;48.891197, 2.363573
100;18021-V 001;8;26;18021-V 001;c300;2018-12-22T13:00:00+01:00;;Paris;18021;France;18021;24, Rue Marcadet;75018;500;Modèle 500L TRILIB (1190);aerial;PLASTIC OMNIUM;Glass;0.3;48.890473, 2.352731
100;18018-P 001;14;65;18018-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;18018;France;18018;17, Rue de Torcy;75018;770;Modèle 770L TRILIB (1210);aerial;PLASTIC OMNIUM;CB;0.2;48.891197, 2.363573
100;19028-P 001;11;20;19028-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;19028;France;19028;35, Rue Archereau;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.891309, 2.373746
100;18020-P 001;8;86;18020-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;18020;France;18020;7, Rue Marcadet;75018;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.890155, 2.354943
100;19040-PM 001;7;20;19040-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;19040;France;19040;63, Quai de la Seine;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.887823, 2.37633
100;19039-PM 001;4;28;19039-PM 001;c400;2018-12-22T13:00:00+01:00;;Paris;19039;France;19039;7, Quai de la Seine;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.884586, 2.370094
100;19029-PM 001;9;98;19029-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;19029;France;19029;75, Rue de l’Ourcq;75019;770;Modèle 770L TRILIB (1220);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.892484, 2.378161
100;19032-V 001;10;25;19032-V 001;c300;2018-12-22T13:00:00+01:00;;Paris;19032;France;19032;27, Rue du général Brunet;75019;500;Modèle 500L TRILIB (1180);aerial;PLASTIC OMNIUM;Glass;0.3;48.881186, 2.391475
100;19036-V 001;1;36;19036-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;19036;France;19036;12, Rue de la solidarité;75019;500;Modèle 500L TRILIB (1220);aerial;PLASTIC OMNIUM;Glass;0.3;48.883751, 2.391494
100;19028-PM 001;19;18;19028-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;19028;France;19028;35, Rue Archereau;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.891309, 2.373746
100;19040-P 001;2;14;19040-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;19040;France;19040;63, Quai de la Seine;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.887823, 2.37633
100;19033-P 001;21;81;19033-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;19033;France;19033;5, Rue de l’égalité;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.881307, 2.394232
100;19030-V 001;11;27;19030-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;19030;France;19030;95, Rue Petit;75019;500;Modèle 500L TRILIB (1220);aerial;PLASTIC OMNIUM;Glass;0.3;48.886446, 2.392375
100;19030-P 001;15;100;19030-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;19030;France;19030;95, Rue Petit;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.886446, 2.392375
100;2001-PM 001;23;10;2001-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;2001;France;2001;5, Rue du Ponceau;75002;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.866754, 2.351747
100;2004-PM 001;5;7;2004-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;2004;France;2004;118, Rue d'Aboukir;75002;770;Modèle 770L TRILIB (1170);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.868709, 2.350564
100;2007-PM 001;19;3;2007-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;2007;France;2007;7, Rue Monsigny;75002;770;Modèle 770L TRILIB (1210);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.868618, 2.335168
100;2001-V 001;4;40;2001-V 001;c300;2018-12-22T13:00:00+01:00;;Paris;2001;France;2001;5, Rue du Ponceau;75002;500;Modèle 500L TRILIB (1180);aerial;PLASTIC OMNIUM;Glass;0.3;48.866754, 2.351747
100;13011-PM 001;27;67;13011-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;13011;France;13011;20, Avenue de Choisy;75013;770;Modèle 770L TRILIB (1170);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.821518, 2.363951
100;13012-PM 001;22;70;13012-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;13012;France;13012;54, Avenue d'Ivry;75013;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.823949, 2.364779
